,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
36,European Union (28 countries),5649529.34,5555045.95,5379830.54,5281540.39,5255297.27,5308544.00,5418671.89,5326316.82,5281519.48,5172643.92,5168911.90,5223118.41,5182922.84,5265582.69,5265368.65,5228428.62,5214524.89,5162425.25,5046999.43,4681900.46,4783627.79,4626382.21,4563064.71,4468920.46,4297635.77,4327313.20,4303391.87,4323163.15
37,OECD - Europe,5595162.50,5575281.50,5425269.50,5343126.50,5317709.00,5377032.50,5507200.50,5430485.50,5412113.50,5326301.50,5348640.50,5380002.00,5342087.00,5434651.00,5446908.00,5432328.50,5437764.50,5412705.50,5299265.00,4969624.00,5082699.50,4939252.00,4906685.50,4822748.00,4664985.50,4705401.50,4712086.50,4754649.00
38,OECD - Total,15171684.00,15133813.00,15159026.00,15220484.00,15427192.00,15644717.00,16078128.00,16148165.00,16123155.00,16149179.00,16437124.00,16333058.00,16411824.00,16591832.00,16775855.00,16794214.00,16736965.00,16931124.00,16580017.00,15663278.00,16128491.00,15943989.00,15732322.00,15837803.00,15669944.00,15570343.00,15428983.00,15436970.00
39,Argentina,220240.77,230413.76,234122.38,239560.14,243598.69,244499.37,256463.93,258303.62,262725.06,264637.84,280308.99,276902.60,269315.64,286381.63,298167.36,307492.67,321462.03,335854.13,331802.17,322554.23,300695.19,310314.53,310670.24,321011.89,322554.61,..,..,..
40,Brazil,573078.75,592144.03,601634.46,614410.57,633105.12,660104.25,664669.23,689838.77,709934.24,729124.26,756663.68,775840.13,791183.70,811625.77,846526.37,863894.87,881670.31,881781.75,910097.94,890514.88,954324.65,991691.00,1027739.00,..,..,..,..,..
41,China (People's Republic of),..,..,..,..,4057617.00,..,..,..,..,..,..,..,..,..,..,7465861.70,..,..,..,..,..,..,11895765.00,..,..,..,..,..
42,Colombia,94040.62,97252.60,102161.07,103813.59,105140.36,106659.23,109795.91,114194.85,113892.08,108652.18,110795.20,109488.75,109966.45,113929.09,117271.11,122238.97,130651.10,131880.49,130025.62,137137.33,138247.79,133918.32,139838.47,147802.85,150614.76,..,..,..
43,Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10878.07,..,..,..,..,12511.35,..,13257.36,..,..,..,..,..
44,India,..,..,..,..,1214248.00,..,..,..,..,..,1523766.56,..,..,..,..,..,..,..,..,..,2100849.73,..,..,..,..,..,..,..
45,Indonesia,..,..,..,..,..,..,..,..,..,..,502363.00,537949.00,545911.00,559139.00,583101.00,590736.00,610242.00,607947.00,629710.00,628562.00,685711.00,726262.00,757250.00,796579.00,864948.00,(E)907334.00,(E)883224.00,..
46,Russia,3186796.00,3024288.33,2537053.87,2399328.57,2137001.03,2084833.22,2029804.97,1912592.16,1879190.45,1904985.79,1900819.66,1941993.69,1923732.09,1958581.74,1973483.88,1993962.74,2056688.15,2058076.28,2097172.65,1960223.77,2057672.77,2120496.67,2146305.50,2090717.03,2089475.08,2093652.94,2097476.84,2155470.67
47,South Africa,347349.40,..,..,..,379837.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
